Rotor,Stator
6,3250
420,3289
421,3290
422,3291
423,3292
424,3293
425,3294
426,3295
427,3296
428,3297
429,3298
430,3299
431,3300
432,3301
433,3302
434,3256
435,3644
436,3643
437,3642
438,3641
439,3640
440,3639
441,3638
442,3637
443,3636
444,3635
445,3634
446,3633
447,3632
448,3631
449,3601
450,3923
451,3924
452,3925
453,3926
454,3927
455,3928
456,3929
457,3930
458,3931
459,3932
460,3933
461,3934
462,3935
463,3936
464,3910
465,4278
466,4277
467,4276
468,4275
469,4274
470,4273
471,4272
472,4271
473,4270
474,4269
475,4268
476,4267
477,4266
478,4265
479,4235
480,4557
481,4558
482,4559
483,4560
484,4561
485,4562
486,4563
487,4564
488,4565
489,4566
490,4567
491,4568
492,4569
493,4570
494,4544
495,4912
496,4911
497,4910
498,4909
499,4908
500,4907
501,4906
502,4905
503,4904
504,4903
505,4902
506,4901
507,4900
508,4899
17,4869
2110,5191
2109,5192
2108,5193
2107,5194
2106,5195
2105,5196
2104,5197
2103,5198
2102,5199
2101,5200
2100,5201
2099,5202
2098,5203
2097,5204
2096,5178
2095,5546
2094,5545
2093,5544
2092,5543
2091,5542
2090,5541
2089,5540
2088,5539
2087,5538
2086,5537
2085,5536
2084,5535
2083,5534
2082,5533
2081,5503
2080,5825
2079,5826
2078,5827
2077,5828
2076,5829
2075,5830
2074,5831
2073,5832
2072,5833
2071,5834
2070,5835
2069,5836
2068,5837
2067,5838
2066,5812
2065,6180
2064,6179
2063,6178
2062,6177
2061,6176
2060,6175
2059,6174
2058,6173
2057,6172
2056,6171
2055,6170
2054,6169
2053,6168
2052,6167
2051,6137
2050,6459
2049,6460
2048,6461
2047,6462
2046,6463
2045,6464
2044,6465
2043,6466
2042,6467
2041,6468
2040,6469
2039,6470
2038,6471
2037,6472
2036,6446
2035,6814
2034,6813
2033,6812
2032,6811
2031,6810
2030,6809
2029,6808
2028,6807
2027,6806
2026,6805
2025,6804
2024,6803
2023,6802
2022,6801
1653,6771
