Frequency [Hz],Avg |i_s| [A]
0.01,1.4499761164188385e-13
0.02,5.325721576809883e-13
0.03,3.8211420178413394e-12
0.04,6.882054731249809e-12
0.05,1.1453283950686454e-11
0.06,1.630965154618025e-11
0.07,1.7325826920568943e-11
0.08,3.151664510369301e-11
0.09,3.6087147891521457e-11
0.1,4.5460085384547705e-11
0.11,6.055782549083233e-11
0.12,7.141080219298602e-11
0.13,9.746253956109286e-11
0.14,1.0752053931355476e-10
0.15,1.231201644986868e-10
0.16,1.4571061357855798e-10
0.17,1.5598832163959743e-10
0.18,1.9781081937253472e-10
0.19,2.1282319910824298e-10
0.2,2.325786603614688e-10
0.21,2.6736235246062277e-10
0.22,2.862599724903703e-10
0.23,3.537440020591021e-10
0.24,3.844345081597567e-10
0.25,3.9630100596696147e-10
0.26,4.3521871324628594e-10
0.27,4.75667156279087e-10
0.28,6.168789416551589e-10
0.29,7.430279115214944e-10
0.3,8.449603570625187e-10
0.31,9.5525786280632e-10
0.32,1.01531314663589e-09
0.33,2.1906131645664574e-09
0.34,2.648848621174693e-09
0.35000000000000003,2.7856660680928673e-09
0.36,2.9011131264269352e-09
0.37,3.0077080661430955e-09
0.38,2.9827034054324035e-09
0.39,3.0673489719644732e-09
0.4,3.283233726397157e-09
0.41000000000000003,3.164224913342486e-09
0.42,3.5245602345094083e-09
0.43,3.5173574928194287e-09
0.44,3.5454632621258495e-09
0.45,3.625766774639488e-09
0.46,3.6048590112477542e-09
0.47000000000000003,3.787048705853521e-09
0.48,3.846610342152336e-09
0.49,3.8732503680513124e-09
0.5,3.961836253292858e-09
