x,i_f,i_s,Coil1 Flux Linkage,Coil2 Flux Linkage,x-direction Magnetic Force
0,-2.0,-2.0,-0.05107458957191863,-0.05107528973778787,0.002510385205271491
1,-2.0,-2.0,-0.05062661512770354,-0.05172582374651189,0.8450156470140135
2,-2.0,-2.0,-0.05017766867217094,-0.05274621163462872,1.8174876877545787
3,-2.0,-2.0,-0.04973331263909708,-0.05426166470292607,2.839092551042097
4,-2.0,-2.0,-0.04932293510676544,-0.05588621681593097,2.693118046130322
5,-2.0,-2.0,-0.04903690452121135,-0.05709860847802475,2.081525790407309
6,-2.0,-2.0,-0.04886898699994351,-0.057911116019813344,1.4265287777348676
7,-2.0,-2.0,-0.048816048810562306,-0.058268900122675354,0.24853918954849213
8,-2.0,-2.0,-0.0489407996733559,-0.05798073471022139,-0.9060278791049958
9,-2.0,-2.0,-0.04916578724231519,-0.057215390336864035,-1.607885415872621
10,-2.0,-2.0,-0.04945382843620802,-0.05602976772644608,-2.2840054546108948
11,-2.0,-2.0,-0.04980989737863938,-0.054518901046544145,-2.526339008982473
12,-2.0,-2.0,-0.05013104847952958,-0.05306951316809803,-1.6582626196361656
13,-2.0,-2.0,-0.050353535470251155,-0.05211912458513602,-0.8296263636008057
14,-2.0,-2.0,-0.05048840531183495,-0.05156447662519392,-0.3120876906766229
15,-2.0,-2.0,-0.050524239799111234,-0.05121897890776761,-0.015973657711446848
16,-2.0,-2.0,-0.050524865109252005,-0.051039452242803846,0.13721972485880016
17,-2.0,-2.0,-0.05057004888569162,-0.05092622601023902,0.1929606434357994
18,-2.0,-2.0,-0.05054700595762653,-0.05086239083994206,0.21527084315372766
19,-2.0,-2.0,-0.05059599113334291,-0.05082433239789988,0.205952629862289
20,-2.0,-2.0,-0.050584736953946295,-0.050814821446137394,0.18601498103313793
0,-1.0,-2.0,-0.05056534016666191,-0.05056724691516186,0.0002878487280655456
1,-1.0,-2.0,-0.05030746098498891,-0.051007947399834094,0.6301218061937802
2,-1.0,-2.0,-0.05002979641387315,-0.05179984557477961,1.3857982954877903
3,-1.0,-2.0,-0.049741993906905854,-0.05307983016605269,2.2065361249267754
4,-1.0,-2.0,-0.049463752063356965,-0.05450442524210062,2.074378606214994
5,-1.0,-2.0,-0.04928400708989094,-0.055566307446762275,1.594722550761042
6,-1.0,-2.0,-0.04919700671397843,-0.056277893964590896,1.1291281892721587
7,-1.0,-2.0,-0.04919830943553179,-0.05659340215708753,0.2794963337304678
