x,i_f,i_s,Coil1 Flux Linkage,Coil2 Flux Linkage,x-direction Magnetic Force
0,-2,-2,-0.05107459,-0.05107529,0.0
1,-2,-2,-0.050638323,-0.051729608,0.863456637
2,-2,-2,-0.050246754,-0.052711426,1.90107487
3,-2,-2,-0.049814714,-0.054153357,2.855146319
4,-2,-2,-0.049420013,-0.055673887,2.668345228
5,-2,-2,-0.049181071,-0.056824203,2.054468786
6,-2,-2,-0.049019995,-0.057576887,1.418221981
7,-2,-2,-0.048971862,-0.057903145,0.270778903
8,-2,-2,-0.049096048,-0.057638837,-0.839004359
9,-2,-2,-0.049290915,-0.056920611,-1.547076931
10,-2,-2,-0.049572221,-0.05584362,-2.227495368
11,-2,-2,-0.0499,-0.054384155,-2.602430888
12,-2,-2,-0.050195587,-0.053001718,-1.749932744
13,-2,-2,-0.050386584,-0.052089287,-0.881060715
14,-2,-2,-0.050517988,-0.051534736,-0.332666976
15,-2,-2,-0.050597532,-0.051223065,-0.042176739
16,-2,-2,-0.050627791,-0.051040843,0.120623872
17,-2,-2,-0.050632594,-0.050930367,0.187646533
18,-2,-2,-0.050652545,-0.05086719,0.207945464
19,-2,-2,-0.050650893,-0.050832945,0.200226147
20,-2,-2,-0.05064519,-0.050816256,0.179453313
0,-1,-2,-0.05056534,-0.050567247,0.0
1,-1,-2,-0.050325743,-0.051044269,0.647975408
2,-1,-2,-0.050095303,-0.051814644,1.458412232
3,-1,-2,-0.049809544,-0.053040858,2.226824735
4,-1,-2,-0.049541045,-0.054370159,2.055448218
5,-1,-2,-0.0494028,-0.055371489,1.572289252
6,-1,-2,-0.049319244,-0.056021643,1.124255149
7,-1,-2,-0.04932433,-0.056299224,0.296890281
8,-1,-2,-0.049477341,-0.056047246,-0.494761243
9,-1,-2,-0.049681756,-0.055394199,-0.988507803
10,-1,-2,-0.049956258,-0.054424016,-1.509377836
11,-1,-2,-0.050266697,-0.053103763,-1.808970259
12,-1,-2,-0.050538965,-0.051878222,-1.081530645
13,-1,-2,-0.050705847,-0.051121572,-0.366432583
14,-1,-2,-0.05081395,-0.050707233,0.058649871
15,-1,-2,-0.050871226,-0.050519257,0.260980916
16,-1,-2,-0.050880336,-0.050444448,0.350265576
17,-1,-2,-0.050865808,-0.050426257,0.361516935
18,-1,-2,-0.050867494,-0.050441756,0.338475068
19,-1,-2,-0.050848747,-0.05047449,0.298629476
20,-1,-2,-0.050827754,-0.050514828,0.254000851
0,0,-2,-0.050051378,-0.050054869,-0.0
1,0,-2,-0.050017528,-0.050349096,0.442998159
2,0,-2,-0.049947832,-0.050889772,1.037958244
3,0,-2,-0.049812404,-0.051881891,1.6293572
4,0,-2,-0.049673727,-0.052997657,1.472620004
5,0,-2,-0.049638317,-0.053830135,1.112811212
6,0,-2,-0.049633309,-0.054364341,0.844625048
7,0,-2,-0.049691691,-0.054586621,0.324593693
8,0,-2,-0.049872293,-0.054348799,-0.162196834
9,0,-2,-0.050084279,-0.053769558,-0.451266846
10,0,-2,-0.050349456,-0.052921298,-0.821510004
11,0,-2,-0.050639147,-0.051760453,-1.046880773
12,0,-2,-0.050885428,-0.050709319,-0.440267313
13,0,-2,-0.05102665,-0.050121096,0.129670276
14,0,-2,-0.051110488,-0.049856214,0.437926304
15,0,-2,-0.051144898,-0.049798615,0.554053532
16,0,-2,-0.051132511,-0.049835982,0.573489654
17,0,-2,-0.051098201,-0.049913073,0.530188711
18,0,-2,-0.051081786,-0.050010138,0.464901354
19,0,-2,-0.05104592,-0.050111612,0.39455216
20,0,-2,-0.051009324,-0.050210116,0.326045619
0,1,-2,-0.04953274,-0.049537969,-0.0
1,1,-2,-0.04970404,-0.049632868,0.248372887
2,1,-2,-0.049804538,-0.049935741,0.640602
3,1,-2,-0.049823508,-0.050673615,1.064867074
4,1,-2,-0.049817924,-0.051553863,0.921788127
5,1,-2,-0.04988758,-0.05219723,0.677829687
6,1,-2,-0.049962704,-0.052597864,0.580593008
7,1,-2,-0.050074622,-0.052755852,0.354053141
8,1,-2,-0.050281276,-0.052535841,0.157793546
9,1,-2,-0.050498191,-0.052043056,0.06306383
10,1,-2,-0.050751351,-0.051332257,-0.165462652
11,1,-2,-0.051017316,-0.050350074,-0.319710762
12,1,-2,-0.051234935,-0.049493091,0.172441315
13,1,-2,-0.051354355,-0.049094269,0.606389479
14,1,-2,-0.05140746,-0.048981794,0.80480939
15,1,-2,-0.051418443,-0.049061306,0.836842304
16,1,-2,-0.05138425,-0.049215577,0.79018148
17,1,-2,-0.051330117,-0.049391519,0.693602833
18,1,-2,-0.051295394,-0.04957239,0.587186132
19,1,-2,-0.051242394,-0.049744343,0.487970817
20,1,-2,-0.051189893,-0.049902139,0.395572679
0,2,-2,-0.049007354,-0.049014292,-0.0
1,2,-2,-0.049390276,-0.048901376,0.064690968
2,2,-2,-0.049665466,-0.04895254,0.267224345
3,2,-2,-0.049843001,-0.049414162,0.535258684
4,2,-2,-0.049974086,-0.050032875,0.404842155
5,2,-2,-0.050151172,-0.050464112,0.269279243
6,2,-2,-0.050307896,-0.05071274,0.333647168
7,2,-2,-0.050473536,-0.0507969,0.385430136
8,2,-2,-0.050704669,-0.050597971,0.464071289
9,2,-2,-0.050923944,-0.050204268,0.552724773
10,2,-2,-0.051162145,-0.049649627,0.456980587
11,2,-2,-0.05140094,-0.04887068,0.369888314
12,2,-2,-0.051587038,-0.048230439,0.755269126
13,2,-2,-0.051672051,-0.048022197,1.063724134
14,2,-2,-0.051704614,-0.04808484,1.158931784
15,2,-2,-0.051691699,-0.048307879,1.109133941
16,2,-2,-0.051635431,-0.048583571,1.000212786
17,2,-2,-0.05156136,-0.048861583,0.851675537
18,2,-2,-0.051508274,-0.049128618,0.705275604
19,2,-2,-0.051438139,-0.049372757,0.578847308
20,2,-2,-0.051370398,-0.049591354,0.462558605
0,-2,-1,-0.025663533,-0.025670827,0.0
1,-2,-1,-0.025592333,-0.026185461,0.189316079
2,-2,-1,-0.025364123,-0.026757272,0.430914306
3,-2,-1,-0.025095817,-0.027646912,0.657898338
4,-2,-1,-0.024830535,-0.028648273,0.620617255
5,-2,-1,-0.024657357,-0.029442337,0.488636219
6,-2,-1,-0.024533464,-0.029985435,0.354174493
7,-2,-1,-0.024491849,-0.030228332,0.095869002
8,-2,-1,-0.024577312,-0.030023299,-0.146509275
9,-2,-1,-0.024715776,-0.029502652,-0.295334116
10,-2,-1,-0.02491426,-0.028756245,-0.433762039
11,-2,-1,-0.025145529,-0.027787268,-0.508486335
12,-2,-1,-0.025348081,-0.026920406,-0.285983938
13,-2,-1,-0.025471144,-0.026383717,-0.074269875
14,-2,-1,-0.025554892,-0.026075142,0.05558586
15,-2,-1,-0.02559811,-0.025910598,0.106376862
16,-2,-1,-0.025612837,-0.025821236,0.134153712
17,-2,-1,-0.025615055,-0.025765793,0.135732835
18,-2,-1,-0.025623979,-0.025737767,0.129287623
19,-2,-1,-0.025623784,-0.02572212,0.115321035
20,-2,-1,-0.025613995,-0.025715873,0.098638181
0,-1,-1,-0.025104236,-0.025111395,-0.0
1,-1,-1,-0.025256885,-0.025364835,0.085022931
2,-1,-1,-0.025235117,-0.025632817,0.213982087
3,-1,-1,-0.025164666,-0.026169095,0.345510632
4,-1,-1,-0.025077021,-0.026809274,0.312670279
5,-1,-1,-0.025047039,-0.027299977,0.243572347
6,-1,-1,-0.025032555,-0.027621905,0.203512265
7,-1,-1,-0.025061763,-0.027758222,0.111468281
8,-1,-1,-0.02517427,-0.0275994,0.033750987
9,-1,-1,-0.025306521,-0.027240485,-0.007373209
10,-1,-1,-0.025475285,-0.026732627,-0.070538504
11,-1,-1,-0.02566019,-0.026059435,-0.109541642
12,-1,-1,-0.02581415,-0.02547932,0.042878106
13,-1,-1,-0.02589576,-0.02517795,0.176320676
14,-1,-1,-0.025943726,-0.025059771,0.244003027
15,-1,-1,-0.025954545,-0.025053416,0.25338701
16,-1,-1,-0.025939419,-0.025096805,0.245146661
17,-1,-1,-0.025914472,-0.025153452,0.219881982
18,-1,-1,-0.025898708,-0.025220549,0.191907478
19,-1,-1,-0.025875443,-0.025285373,0.162282118
20,-1,-1,-0.025844611,-0.025347436,0.134053032
0,0,-1,-0.024544847,-0.024551872,-0.0
1,0,-1,-0.024918552,-0.024540756,-0.007077531
2,0,-1,-0.025105769,-0.024507978,0.024612967
3,0,-1,-0.025233538,-0.024691158,0.075589327
4,0,-1,-0.025323554,-0.024970038,0.047991684
5,0,-1,-0.025436803,-0.025157227,0.034124846
6,0,-1,-0.025531751,-0.025257865,0.07690266
7,0,-1,-0.025631797,-0.025287525,0.129427836
8,0,-1,-0.025771329,-0.025174966,0.194185539
9,0,-1,-0.025897344,-0.024977894,0.247001052
10,0,-1,-0.02603635,-0.024708738,0.249476575
11,0,-1,-0.026174872,-0.02433143,0.242759714
12,0,-1,-0.026280222,-0.024038149,0.337221645
13,0,-1,-0.026320366,-0.023972171,0.404747893
14,0,-1,-0.026332542,-0.024044421,0.418374107
15,0,-1,-0.026310967,-0.024196246,0.389109763
16,0,-1,-0.026265993,-0.024372368,0.348962478
17,0,-1,-0.026213881,-0.024541113,0.29833741
18,0,-1,-0.026173431,-0.024703328,0.250082408
19,0,-1,-0.026127095,-0.024848623,0.20652426
20,0,-1,-0.026075224,-0.024978995,0.16679533
0,1,-1,-0.023985346,-0.023992236,-0.0
